Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD192,"C:","63.48%",Warning,"63.48"
ACMDPBD192,"F:","29.15%",Healthy,"29.15"
ACMDPBD192,"P:","21.51%",Healthy,"21.51"
ACMDPBD192,"H:","20.12%",Healthy,"20.12"
ACMDPBD195,"D:","75.79%",Warning,"75.79"
ACMDPBD195,"H:","74.32%",Warning,"74.32"
ACMDPBD195,"C:","64.4%",Warning,"64.4"
ACMDPBD195,"G:","33.39%",Healthy,"33.39"
ACMDPBD195,"X:","31.54%",Healthy,"31.54"
ACMDPBD195,"F:","28.65%",Healthy,"28.65"
ACMDPBD195,"P:","21.51%",Healthy,"21.51"
ACMDPBD195,"E:","19.54%",Healthy,"19.54"
ACMDPBD201,"P:","99.45%",Critical,"99.45"
ACMDPBD201,"D:","78.81%",Warning,"78.81"
ACMDPBD201,"F:","71.94%",Warning,"71.94"
ACMDPBD201,"C:","59.67%",Healthy,"59.67"
ACMDPBD201,"E:","27.41%",Healthy,"27.41"
ACMDPBD202,"P:","99.45%",Critical,"99.45"
ACMDPBD202,"D:","79.98%",Warning,"79.98"
ACMDPBD202,"F:","71.94%",Warning,"71.94"
ACMDPBD202,"C:","62.81%",Warning,"62.81"
ACMDPBD202,"E:","27.41%",Healthy,"27.41"
ACMDPBD212,"D:","88.43%",Warning,"88.43"
ACMDPBD212,"H:","82.82%",Warning,"82.82"
ACMDPBD212,"E:","50.24%",Healthy,"50.24"
ACMDPBD212,"C:","22.14%",Healthy,"22.14"
ACMDPBD212,"F:","21.61%",Healthy,"21.61"
ACMDPBD213,"H:","82.82%",Warning,"82.82"
ACMDPBD213,"D:","70.83%",Warning,"70.83"
ACMDPBD213,"E:","39.26%",Healthy,"39.26"
ACMDPBD213,"C:","32.5%",Healthy,"32.5"
ACMDPBD213,"F:","21.61%",Healthy,"21.61"
ACMDPBD216,"H:","97.8%",Critical,"97.8"
ACMDPBD216,"C:","61.8%",Warning,"61.8"
ACMDPBD216,"D:","58.13%",Healthy,"58.13"
ACMDPBD216,"F:","52.8%",Healthy,"52.8"
ACMDPBD216,"I:","22.33%",Healthy,"22.33"
ACMDPBD216,"L:","21.06%",Healthy,"21.06"
ACMDPBD216,"E:","16.59%",Healthy,"16.59"
ACMDPBD216,"P:","15.17%",Healthy,"15.17"
ACMDPBD216,"K:","14.97%",Healthy,"14.97"
ACMDPBD216,"J:","0.6%",Healthy,"0.6"
ACMDPBD220,"D:","69.32%",Warning,"69.32"
ACMDPBD220,"C:","58.71%",Healthy,"58.71"
ACMDPBD222,"H:","90.66%",Critical,"90.66"
ACMDPBD222,"D:","53.74%",Healthy,"53.74"
ACMDPBD222,"F:","52.8%",Healthy,"52.8"
ACMDPBD222,"C:","40.94%",Healthy,"40.94"
ACMDPBD222,"M:","34.68%",Healthy,"34.68"
ACMDPBD222,"I:","22.33%",Healthy,"22.33"
ACMDPBD222,"L:","21.05%",Healthy,"21.05"
ACMDPBD222,"E:","17.0%",Healthy,17
ACMDPBD222,"P:","15.17%",Healthy,"15.17"
ACMDPBD222,"K:","13.96%",Healthy,"13.96"
ACMDPBD222,"J:","0.6%",Healthy,"0.6"
ACMDPBD223,"H:","99.57%",Critical,"99.57"
ACMDPBD223,"F:","85.96%",Warning,"85.96"
ACMDPBD223,"D:","73.23%",Warning,"73.23"
ACMDPBD223,"K:","72.81%",Warning,"72.81"
ACMDPBD223,"C:","67.33%",Warning,"67.33"
ACMDPBD223,"J:","61.03%",Warning,"61.03"
ACMDPBD223,"E:","34.78%",Healthy,"34.78"
ACMDPBD223,"I:","23.92%",Healthy,"23.92"
ACMDPBD225,"H:","99.57%",Critical,"99.57"
ACMDPBD225,"F:","85.96%",Warning,"85.96"
ACMDPBD225,"K:","72.81%",Warning,"72.81"
